player_id,full_name,team_name,team_abbr,position,salary
1642928,Dylan Cardwell,Kings,SAC,Center,0
1642382,Branden Carlson,Thunder,OKC,Center,0
1642267,Bub Carrington,Wizards,WAS,Guard,4677600
1642269,Devin Carter,Kings,SAC,Guard,4923720
1628975,Jevon Carter,Bulls,CHI,Guard,6809524
1628976,Wendell Carter Jr.,Magic,ORL,Center-Forward,10850000
1627936,Alex Caruso,Thunder,OKC,Guard,18102000
1642264,Stephon Castle,Spurs,SAS,Guard,9560520
1630658,Colin Castleton,Magic,ORL,Center,0
1630577,Julian Champagnie,Spurs,SAS,Forward,3000000
1630551,Justin Champagnie,Wizards,WAS,Guard-Forward,2349578
1642353,Cam Christie,Clippers,LAC,Guard,1955377
1631108,Max Christie,Mavericks,DAL,Guard,7714286
1630619,Moussa Cisse,Mavericks,DAL,Center,0
1631321,Sidy Cissoko,Trail Blazers,POR,Guard,0
1641740,Jaylen Clark,Timberwolves,MIN,Guard,2191897
1629634,Brandon Clarke,Grizzlies,MEM,Forward,12500000
203903,Jordan Clarkson,Knicks,NYK,Guard,2296274
1629651,Nic Claxton,Nets,BKN,Center,25352272
1642383,Walter Clayton Jr.,Jazz,UTA,Guard,3991320
1642363,Nique Clifford,Kings,SAC,Guard,3108120
1642270,Donovan Clingan,Trail Blazers,POR,Center,7178400
1641730,Noah Clowney,Nets,BKN,Forward-Center,3398640
1629599,Amir Coffey,Bucks,MIL,Guard-Forward,2296274
1642268,Isaiah Collier,Jazz,UTA,Guard,2638200
1628381,John Collins,Clippers,LAC,Forward-Center,26580000
1628380,Zach Collins,Bulls,CHI,Forward-Center,18080496
201144,Mike Conley,Timberwolves,MIN,Guard,10774038
1626192,Pat Connaughton,Hornets,CHA,Guard,9423869
1631451,Javonte Cooke,Trail Blazers,POR,Guard,0
1630536,Sharife Cooper,Wizards,WAS,Guard,0
1641731,Bilal Coulibaly,Wizards,WAS,Guard,7275600
1642907,Cedric Coward,Grizzlies,MEM,Guard,5715120
1642384,Isaiah Crawford,Rockets,HOU,Forward,0
1643018,LJ Cryer,Warriors,GSW,Guard,0
1630595,Cade Cunningham,Pistons,DET,Guard,46394100
203552,Seth Curry,Warriors,GSW,Guard,0
201939,Stephen Curry,Warriors,GSW,Guard,59606817
1642359,Pacôme Dadiet,Knicks,NYK,Forward,2847600
1630700,Dyson Daniels,Hawks,ATL,Guard,7707709
1642368,N'Faly Dante,Hawks,ATL,Center,2048494
203076,Anthony Davis,Mavericks,DAL,Forward-Center,54126450
1631120,JD Davison,Rockets,HOU,Guard,2270735
201942,DeMar DeRozan,Kings,SAC,Guard-Forward,24570000
1642484,RayJ Dennis,Hawks,ATL,Guard,0
1628978,Donte DiVincenzo,Timberwolves,MIN,Guard,11990000
1631217,Moussa Diabaté,Hornets,CHA,Forward,2270735
1642885,Mohamed Diawara,Knicks,NYK,Forward,1272870
1641711,Gradey Dick,Raptors,TOR,Guard-Forward,4990560
1630621,Hunter Dickinson,Pelicans,NOP,Center,0
1631172,Ousmane Dieng,Thunder,OKC,Forward,6670882
1642265,Rob Dillingham,Timberwolves,MIN,Guard,6576120
1629029,Luka Dončić,Lakers,LAL,Forward-Guard,45999660
1629652,Luguentz Dort,Thunder,OKC,Guard,18222222
1630245,Ayo Dosunmu,Bulls,CHI,Guard,7518518
203083,Andre Drummond,76ers,PHI,Center,5000000
1627739,Kris Dunn,Clippers,LAC,Guard,5426400
1642346,Ryan Dunn,Suns,PHX,Forward,2657760
201142,Kevin Durant,Rockets,HOU,Forward,54708609
1631105,Jalen Duren,Pistons,DET,Center,6483144
1642856,Egor Dëmin,Nets,BKN,Guard,6889200
1631106,Tari Eason,Rockets,HOU,Forward,5675766
1641744,Zach Edey,Grizzlies,MEM,Center,6045000
1642845,VJ Edgecombe,76ers,PHI,Guard,11108880
1630162,Anthony Edwards,Timberwolves,MIN,Guard,45550512
1642348,Justin Edwards,76ers,PHI,Forward,2048494
1631165,Keon Ellis,Kings,SAC,Guard,2301587
203954,Joel Embiid,76ers,PHI,Center-Forward,55224526
1642855,Noa Essengue,Bulls,CHI,Forward,5429520
1630623,Tyson Etienne,Nets,BKN,Guard,0
1629234,Drew Eubanks,Kings,SAC,Forward-Center,2296274
203957,Danté Exum,Mavericks,DAL,Guard,2296274
1642847,Jeremiah Fears,Pelicans,NOP,Guard,7520040
1642271,Kyle Filipowski,Jazz,UTA,Center,3000000
1627827,Dorian Finney-Smith,Rockets,HOU,Forward,12700000
1642843,Cooper Flagg,Mavericks,DAL,Forward,13825920
1642853,Rasheer Fleming,Suns,PHX,Forward,1272870
1631323,Simone Fontecchio,Heat,MIA,Forward,8307692
1628368,De'Aaron Fox,Spurs,SAS,Guard,37096620
1642402,Enrique Freeman,Timberwolves,MIN,Forward,0
1642277,Johnny Furphy,Pacers,IND,Guard,1955377
1629655,Daniel Gafford,Mavericks,DAL,Forward-Center,14386320
1642066,Myron Gardner,Heat,MIA,Forward,0
1629636,Darius Garland,Cavaliers,CLE,Guard,39446090
1630568,Luka Garza,Celtics,BOS,Center,2461463
1641718,Keyonte George,Jazz,UTA,Guard,4278960
1642273,Kyshawn George,Wizards,WAS,Forward,2966760
202331,Paul George,76ers,PHI,Forward,51666090
1630581,Josh Giddey,Bulls,CHI,Guard,25000000
1628983,Shai Gilgeous-Alexander,Thunder,OKC,Guard,38333050
1630264,Anthony Gill,Wizards,WAS,Forward,2296274
1631221,Collin Gillespie,Suns,PHX,Guard,2296274
203497,Rudy Gobert,Timberwolves,MIN,Center,35000000
1642884,Vladislav Goldin,Heat,MIA,Center,0
1642864,Hugo González,Celtics,BOS,Guard,2783880
1630692,Jordan Goodwin,Suns,PHX,Guard,2349578
203932,Aaron Gordon,Nuggets,DEN,Forward,22841455
201569,Eric Gordon,76ers,PHI,Guard,2296274
203924,Jerami Grant,Trail Blazers,POR,Forward,32000001
1631260,AJ Green,Bucks,MIL,Guard,2301587
